Time Studied (hours),Percentile Reached
4.81,34
11.43,77
8.92,63
7.38,31
2.29,13
2.29,19
1.17,22
10.46,68
7.41,43
8.64,55
0.74,14
11.65,84
10.07,65
2.94,25
2.59,19
2.61,27
4.0,20
6.53,42
5.47,34
3.85,12
7.54,55
2.1,17
3.86,27
4.71,30
5.74,26
9.53,62
2.8,16
6.41,36
7.31,49
1.03,11
7.49,71
2.46,18
1.25,11
11.41,79
11.6,62
9.8,68
4.0,28
1.62,35
8.37,56
5.56,41
1.9,12
6.19,31
0.9,17
10.96,84
3.48,32
8.12,47
4.08,42
6.48,31
6.79,53
2.63,40
11.65,71
9.41,60
11.3,80
10.79,70
7.38,36
11.1,78
1.52,1
2.75,23
1.02,1
4.24,45
4.97,26
3.62,22
10.03,78
4.6,19
3.73,28
6.74,60
2.12,1
9.73,69
1.36,12
11.85,90
9.38,53
2.79,6
0.56,9
9.88,72
8.63,62
8.88,65
9.37,58
1.35,11
4.62,35
1.83,5
10.43,91
7.67,58
4.31,18
1.23,15
4.08,18
4.24,37
8.89,73
7.83,46
10.7,84
5.93,45
1.88,21
8.7,79
9.25,62
6.95,41
9.37,56
6.18,35
6.51,44
5.42,41
0.79,8
1.74,20
