Time Studied (hours),Percentile Reached
5.62,30
14.26,84
10.98,72
8.98,71
2.34,18
2.34,3
0.87,7
12.99,94
9.02,54
10.62,75
0.31,2
14.55,90
12.49,91
3.19,27
2.73,29
2.75,29
4.56,18
7.87,45
6.48,50
4.37,35
9.18,69
2.09,53
4.38,36
5.5,49
6.84,57
11.78,88
3.0,17
7.71,61
8.89,54
0.7,2
9.11,58
2.56,18
0.98,30
14.23,80
14.48,100
12.13,68
4.57,27
1.47,21
10.26,72
6.6,35
1.83,5
7.43,58
0.52,1
13.64,97
3.88,27
9.94,63
4.68,54
7.8,60
8.2,37
2.77,21
14.54,95
11.63,89
14.09,90
13.42,92
8.97,67
13.83,100
1.33,1
2.94,17
0.68,1
4.88,27
5.83,58
4.07,32
12.43,74
5.35,46
4.21,50
8.14,67
2.11,1
12.03,79
1.12,20
14.8,96
11.58,85
2.98,28
0.08,1
12.23,85
10.6,41
10.94,66
11.57,78
1.11,1
5.38,53
1.74,1
12.95,86
9.35,66
4.96,49
0.95,1
4.66,44
4.88,34
10.94,66
9.56,71
13.31,95
7.08,43
1.79,13
10.7,71
11.41,81
8.42,65
11.56,96
7.41,39
7.84,76
6.41,25
0.38,1
1.62,17
0.47,6
9.55,60
4.72,30
7.63,48
13.61,89
3.74,34
6.16,46
11.33,72
3.43,33
1.15,11
4.35,38
2.42,23
13.95,89
12.12,79
9.5,73
13.07,97
12.06,84
2.8,20
13.39,100
8.09,50
12.11,90
13.44,92
4.77,31
1.65,22
3.42,32
6.41,53
12.27,98
12.91,90
0.1,7
7.66,50
6.26,47
3.33,22
1.8,13
5.06,41
14.14,90
4.85,54
7.78,44
10.55,61
5.45,49
14.58,100
14.44,100
3.78,32
7.46,52
4.51,22
4.27,30
0.55,1
9.14,73
7.54,51
0.77,1
4.18,26
13.62,99
3.59,19
2.17,6
7.34,53
14.78,100
3.63,20
10.08,65
11.42,82
3.56,10
10.92,62
5.52,31
9.48,64
9.5,69
8.04,71
1.35,18
12.53,86
4.81,33
2.8,9
0.61,4
8.86,59
10.16,74
0.25,1
7.68,58
3.4,39
9.68,66
2.62,22
10.36,79
5.8,36
14.05,100
2.06,14
5.12,36
1.7,4
13.87,97
13.16,97
3.87,41
9.9,78
12.26,100
8.33,50
7.94,64
3.63,27
1.4,31
13.46,86
13.51,86
9.5,60
5.09,14
5.24,31
10.89,68
13.46,95
13.31,96
11.7,100
9.63,76
1.26,3
2.42,7
13.48,99
9.1,50
0.14,19
1.52,22
9.95,64
0.08,1
2.41,30
8.23,56
10.38,85
9.78,52
3.36,17
10.68,74
3.56,25
4.88,29
11.2,84
9.74,57
12.74,87
9.86,70
8.52,64
1.41,16
5.52,27
3.98,12
3.66,38
14.6,100
5.9,33
13.38,100
9.47,67
11.92,95
7.54,53
8.65,81
7.39,69
2.93,18
10.84,85
4.21,35
0.36,16
9.68,58
2.66,25
14.11,100
14.31,82
13.72,84
5.55,18
0.23,1
13.92,100
6.42,59
14.5,100
14.45,100
12.8,75
